id,total_rent,living_space,rooms,age,floor,zipcode,city,district,has_balcony,has_kitchen,has_cellar,has_elevator,needs_wbs
100027976,998.0,83.0,3.0,112,3,12557,Berlin,Köpenick (Köpenick),True,True,True,False,False
100082825,1900.0,101.0,3.0,1,4,10435,Berlin,Prenzlauer Berg (Prenzlauer Berg),True,True,True,True,False
100107834,1250.0,45.0,2.0,None,5,10119,berlin,Mitte (Mitte),True,True,False,False,False
100120886,981.23,87.9,4.0,None,1,13503,Berlin,Heiligensee (Reinickendorf),False,True,False,False,False
100122011,1296.0,83.55,2.0,None,5,13359,Berlin-Wedding,Wedding (Wedding),False,False,False,False,False
100149210,3199.0,238.0,6.0,118,2,14169,Berlin,Zehlendorf (Zehlendorf),True,True,False,False,False
100150862,2096.0,102.2,2.0,28,9,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
100157936,1978.5,86.42,2.0,139,3,10178,Berlin,Mitte (Mitte),True,False,False,False,False
100177956,2667.0,125.98,4.0,28,2,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
100218502,6951.0,303.0,4.0,8,7,10117,Berlin,None,True,True,True,True,False
100233054,2750.0,180.0,4.0,23,5,10709,Berlin,Wilmersdorf (Wilmersdorf),True,True,False,True,False
100346727,900.0,58.0,2.0,108,None,10437,Berlin,Prenzlauer Berg (Prenzlauer Berg),True,True,True,False,False
100372560,2005.75,118.2,3.0,2,None,10117,Berlin,Mitte (Mitte),True,True,False,True,False
100481709,2385.0,155.96,4.0,118,1,10553,Berlin,Tiergarten (Tiergarten),True,False,False,False,False
100541356,2794.0,127.0,3.0,2,1,10117,Berlin,Mitte (Mitte),False,True,False,True,False
100542224,599.0,20.0,1.0,0,1,10965,Berlin,Kreuzberg (Kreuzberg),False,True,False,True,False
100545021,2829.0,128.0,3.0,2,1,10117,Berlin,Mitte (Mitte),False,True,False,True,False
100551781,755.0,61.7,2.0,53,None,10585,Berlin,Charlottenburg (Charlottenburg),True,False,True,True,False
100595242,1245.0,64.0,2.0,None,3,10711,Berlin,Wilmersdorf (Wilmersdorf),True,True,True,False,False
100618542,2440.0,195.0,5.5,110,2,14052,Berlin,Charlottenburg (Charlottenburg),False,False,True,True,False
100662492,950.29,86.94,3.0,34,2,13407,Berlin,(Reinickendorf), Reinickendorf (Reinickendorf),True,False,True,True,True
100665876,2540.0,143.5,4.5,None,4,10709,Berlin,Wilmersdorf (Wilmersdorf),True,False,False,True,False
100721038,4500.0,200.0,4.0,None,3,10787,Berlin,Schöneberg (Schöneberg),True,True,True,True,False
100723183,1609.0,124.0,2.5,None,1,12587,Berlin,Friedrichshagen (Köpenick),True,False,True,False,False
100724712,1344.0,86.2,3.0,100,0,10587,Berlin,Charlottenburg (Charlottenburg),True,False,False,False,False
100724741,1150.0,70.33,2.0,85,13,13407,Berlin,Reinickendorf (Reinickendorf),True,True,False,True,False
100726842,1400.0,65.0,2.0,5,2,10115,Berlin,Mitte (Mitte),True,True,True,True,False
100752100,1863.93,83.81,3.0,None,6,10557,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
100752406,6690.0,319.0,7.0,112,1,10629,Berlin,None,True,True,True,True,False
100757612,2208.0,83.16,3.0,None,1,10117,Berlin,/ Mitte,True,True,True,True,False
100843436,3192.0,177.0,4.0,118,4,10785,Berlin,Tiergarten (Tiergarten),True,True,True,False,False
100908634,1624.25,87.5,3.0,1,0,10179,Berlin,Mitte (Mitte),True,False,True,True,False
100914394,1390.5,94.44,3.0,116,4,12165,Berlin,Steglitz (Steglitz),False,False,False,False,False
100932697,1765.22,114.41,3.0,8,1,13187,Berlin,Pankow (Pankow),True,True,False,True,False
